ticker,comp_ticker,comp_name,comp_price,comp_eps
MSFT,ORCL,Oracle Corporation,154.23,5.6899999999999995
MSFT,PANW,"Palo Alto Networks, Inc.",164.05,1.87
MSFT,SNPS,"Synopsys, Inc.",432.48,6.58
MSFT,FTNT,"Fortinet, Inc.",82.77,2.44
MSFT,GOOG,Alphabet Inc.,299.02,10.91
