ticker,year,fcf_m
AVGO,2007,109.0
AVGO,2008,137.0
AVGO,2009,81.0
AVGO,2010,431.0
AVGO,2011,614.0
AVGO,2012,452.0
AVGO,2013,486.0
AVGO,2014,766.0
AVGO,2015,1725.0
AVGO,2016,2688.0
AVGO,2017,5482.0
AVGO,2018,8245.0
AVGO,2019,9265.0
AVGO,2020,11598.0
AVGO,2021,13321.0
AVGO,2022,16312.0
AVGO,2023,17633.0
AVGO,2024,19414.0
AVGO,2025,26914.0
