ticker,year,fcf_m
AMZN,2016,9399.0
AMZN,2017,6410.0
AMZN,2018,17296.0
AMZN,2019,21653.0
AMZN,2020,25924.0
AMZN,2021,-14726.0
AMZN,2022,-16893.0
AMZN,2023,32217.0
AMZN,2024,32878.0
AMZN,2025,7695.0
