ticker,year,fcf_m
MSFT,2016,24982.0
MSFT,2017,31378.0
MSFT,2018,32252.0
MSFT,2019,38260.0
MSFT,2020,45234.0
MSFT,2021,56118.0
MSFT,2022,65149.0
MSFT,2023,59475.0
MSFT,2024,74071.0
MSFT,2025,71611.0
