ticker,base_year,year_index,year,fcf_forecast_m,pv_fcf_m,discount_factor,growth_rate,discount_rate,terminal_growth_rate,fcf_base_m,terminal_value_m
AMZN,2025,1,2026,8189.669352018679,7351.58828726991,0.8976660682226213,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,2,2027,8716.138284001827,7023.502319106451,0.8058043700382598,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,3,2028,9276.451016562241,6710.058139669401,0.7233432406088509,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,4,2029,9872.783182045785,6410.602316633358,0.6493206827727567,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,5,2030,10507.450272271062,6124.510578987284,0.5828731443202484,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,6,2031,11182.91662932796,5851.186515626196,0.5232254437345139,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,7,2032,11901.805014345318,5590.060332021986,0.46968172687119747,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,8,2033,12666.906791382207,5340.587662381413,0.42161734907647885,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,9,2034,13481.192765985721,5102.248434814996,0.37847158803992725,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
AMZN,2025,10,2035,14347.824720500219,4874.545787151027,0.3397411023697732,0.06428451618176459,0.11399999999999999,0.03,7695.0,175931.6602632765
