ticker,year,dividends_paid_m
MSFT,2007,-3805.0
MSFT,2008,-4015.0
MSFT,2009,-4468.0
MSFT,2010,-4578.0
MSFT,2011,-5180.0
MSFT,2012,-6385.0
MSFT,2013,-7455.0
MSFT,2014,-8879.0
MSFT,2015,-9882.0
MSFT,2016,-11006.0
MSFT,2017,-11845.0
MSFT,2018,-12699.0
MSFT,2019,-13811.0
MSFT,2020,-15137.0
MSFT,2021,-16521.0
MSFT,2022,-18135.0
MSFT,2023,-19800.0
MSFT,2024,-21771.0
MSFT,2025,-24082.0
