ticker,year,dividends_paid_m
AVGO,2007,0.0
AVGO,2008,0.0
AVGO,2009,0.0
AVGO,2010,0.0
AVGO,2011,-86.0
AVGO,2012,-137.0
AVGO,2013,-198.0
AVGO,2014,-284.0
AVGO,2015,-408.0
AVGO,2016,-750.0
AVGO,2017,-1653.0
AVGO,2018,-2998.0
AVGO,2019,-4235.0
AVGO,2020,-5534.0
AVGO,2021,-6212.0
AVGO,2022,-7032.0
AVGO,2023,-7645.0
AVGO,2024,-9814.0
AVGO,2025,-11142.0
