ticker,year,dividends_paid_m
AMZN,2007,0.0
AMZN,2008,0.0
AMZN,2009,0.0
AMZN,2010,0.0
AMZN,2011,0.0
AMZN,2012,0.0
AMZN,2013,0.0
AMZN,2014,0.0
AMZN,2015,0.0
AMZN,2016,0.0
AMZN,2017,0.0
AMZN,2018,0.0
AMZN,2019,0.0
AMZN,2020,0.0
AMZN,2021,0.0
AMZN,2022,0.0
AMZN,2023,0.0
AMZN,2024,0.0
AMZN,2025,0.0
